date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:14:45	36428/36428	---M-Z	200	added ('OK')	text/html	etag:%22284f-61c54151-0;gz%22	https://jarvee.com/	C:/My%20Web%20Sites/jarvee/jarvee.com/index.html	(from )
11:14:46	70/70	---M-Z	200	added ('OK')	text/plain	date:Fri,%2024%20Dec%202021%2004:14:45%20GMT	https://jarvee.com/robots.txt		(from )
11:14:46	4685/4685	---M-Z	200	added ('OK')	text/css	etag:%22124d-61a9d1c3-0;gz%22	https://jarvee.com/wp-content/plugins/wysija-newsletters/css/validationEngine.jquery.css?ver=2.17	C:/My%20Web%20Sites/jarvee/jarvee.com/wp-content/plugins/wysija-newsletters/css/validationEngine.jquerye949.css	(from https://jarvee.com/)
11:14:46	29589/29589	---M-Z	200	added ('OK')	text/xml	etag:%221795-61c54493-0;gz%22	https://jarvee.com/feed/	C:/My%20Web%20Sites/jarvee/jarvee.com/feed/index.html	(from https://jarvee.com/)
11:14:46	18098/18098	---M-Z	200	added ('OK')	text/xml	etag:%22d30-61c5454c-0;gz%22	https://jarvee.com/comments/feed/	C:/My%20Web%20Sites/jarvee/jarvee.com/comments/feed/index.html	(from https://jarvee.com/)
11:14:47	19962/19962	---M-Z	200	added ('OK')	text/css	etag:%224dfa-61a9d207-0;gz%22	https://jarvee.com/wp-content/plugins/wp-video-lightbox/css/prettyPhoto.css?ver=5.8.2	C:/My%20Web%20Sites/jarvee/jarvee.com/wp-content/plugins/wp-video-lightbox/css/prettyPhoto080f.css	(from https://jarvee.com/)
11:14:47	1130/1130	---M-Z	200	added ('OK')	text/css	etag:%2246a-61a9d207-0;gz%22	https://jarvee.com/wp-content/plugins/wp-video-lightbox/wp-video-lightbox.css?ver=5.8.2	C:/My%20Web%20Sites/jarvee/jarvee.com/wp-content/plugins/wp-video-lightbox/wp-video-lightbox080f.css	(from https://jarvee.com/)
11:14:48	56915/56915	---M-Z	200	added ('OK')	text/css	etag:%22de53-5b0d4067-0;gz%22	https://jarvee.com/wp-content/themes/kickstart-pro/style.css?ver=1.3.7	C:/My%20Web%20Sites/jarvee/jarvee.com/wp-content/themes/kickstart-pro/style52d0.css	(from https://jarvee.com/)
11:14:48	80574/80574	---M-Z	200	added ('OK')	text/css	etag:%2213abe-61a9d16e-0;gz%22	https://jarvee.com/wp-includes/css/dist/block-library/style.min.css?ver=5.8.2	C:/My%20Web%20Sites/jarvee/jarvee.com/wp-includes/css/dist/block-library/style.min080f.css	(from https://jarvee.com/)
11:14:48	2731/2731	---M-Z	200	added ('OK')	text/css	etag:%22aab-61a9d188-0;gz%22	https://jarvee.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.5.3	C:/My%20Web%20Sites/jarvee/jarvee.com/wp-content/plugins/contact-form-7/includes/css/styles5697.css	(from https://jarvee.com/)
11:14:49	116077/116077	---M-Z	200	added ('OK')	text/css	etag:%221c56d-6091a9b6-0;gz%22	https://jarvee.com/wp-content/plugins/monarch/css/style.css?ver=1.4.14	C:/My%20Web%20Sites/jarvee/jarvee.com/wp-content/plugins/monarch/css/style22d6.css	(from https://jarvee.com/)
11:14:49	31000/31000	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:55%20GMT	http://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css?ver=4.7.0	C:/My%20Web%20Sites/jarvee/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min1849.css	(from https://jarvee.com/)
11:14:50	11224/11224	---M-Z	200	added ('OK')	application/x-javascript	etag:%222bd8-61a9d16e-0;gz%22	https://jarvee.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/My%20Web%20Sites/jarvee/jarvee.com/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://jarvee.com/)
11:14:50	89521/89521	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215db1-61a9d16e-0;gz%22	https://jarvee.com/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	C:/My%20Web%20Sites/jarvee/jarvee.com/wp-includes/js/jquery/jquery.minaf6c.js	(from https://jarvee.com/)
11:14:50	35869/35869	---M-Z	200	added ('OK')	application/x-javascript	etag:%228c1d-61a9d207-0;gz%22	https://jarvee.com/wp-content/plugins/wp-video-lightbox/js/jquery.prettyPhoto.js?ver=3.1.6	C:/My%20Web%20Sites/jarvee/jarvee.com/wp-content/plugins/wp-video-lightbox/js/jquery.prettyPhoto005e.js	(from https://jarvee.com/)
11:14:50	6927/6927	---M-Z	200	added ('OK')	application/x-javascript	etag:%221b0f-61a9d207-0;gz%22	https://jarvee.com/wp-content/plugins/wp-video-lightbox/js/video-lightbox.js?ver=3.1.6	C:/My%20Web%20Sites/jarvee/jarvee.com/wp-content/plugins/wp-video-lightbox/js/video-lightbox005e.js	(from https://jarvee.com/)
11:14:51	4233/4233	---M-Z	200	added ('OK')	application/x-javascript	etag:%221089-59580fa6-0;gz%22	https://jarvee.com/wp-content/themes/kickstart-pro/js/backstretch.js?ver=2.0.4	C:/My%20Web%20Sites/jarvee/jarvee.com/wp-content/themes/kickstart-pro/js/backstretch1c12.js	(from https://jarvee.com/)
11:14:51	99/99	---M--	200	added ('OK')	application/x-javascript	etag:%2263-59580fa6-0;;;%22	https://jarvee.com/wp-content/themes/kickstart-pro/js/backstretch-set.js?ver=1.3.7	C:/My%20Web%20Sites/jarvee/jarvee.com/wp-content/themes/kickstart-pro/js/backstretch-set52d0.js	(from https://jarvee.com/)
11:14:52	6464/6464	---M--	200	added ('OK')	application/json	date:Fri,%2024%20Dec%202021%2004:14:52%20GMT	https://jarvee.com/wp-json/wp/v2/pages/20	C:/My%20Web%20Sites/jarvee/jarvee.com/wp-json/wp/v2/pages/20.json	(from https://jarvee.com/)
11:14:52	3405/3405	---M-Z	403	error ('Forbidden')	text/html	etag:%22d4d-60e82ddf-f00f1fc12d3e00fb;gz%22	https://jarvee.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/jarvee/jarvee.com/xmlrpc0db0.php	(from https://jarvee.com/)
11:14:53	1045/1045	---M-Z	200	added ('OK')	text/xml	etag:%22415-61a9d16e-0;gz%22	https://jarvee.com/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/jarvee/jarvee.com/wp-includes/wlwmanifest.xml	(from https://jarvee.com/)
11:14:53	2341/2341	---M--	200	added ('OK')	application/json	date:Fri,%2024%20Dec%202021%2004:14:53%20GMT	https://jarvee.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fjarvee.com%2F	C:/My%20Web%20Sites/jarvee/jarvee.com/wp-json/oembed/1.0/embedce5d.json	(from https://jarvee.com/)
11:14:54	2681/2681	---M-Z	200	added ('OK')	text/xml	date:Fri,%2024%20Dec%202021%2004:14:54%20GMT	https://jarvee.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fjarvee.com%2F&format=xml	C:/My%20Web%20Sites/jarvee/jarvee.com/wp-json/oembed/1.0/embedf502	(from https://jarvee.com/)
11:14:56	3058/3058	---M-Z	200	added ('OK')	text/css	etag:%22bf2-595d41a1-0;gz%22	https://jarvee.com/wp-content/plugins/wp-affiliate-platform/affiliate_platform_style.css	C:/My%20Web%20Sites/jarvee/jarvee.com/wp-content/plugins/wp-affiliate-platform/affiliate_platform_style.css	(from https://jarvee.com/)
11:14:56	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2024%20Dec%202021%2004:14:55%20GMT	http://jarvee.com/?wordfence_lh=1&hid=90227995AA3ED72F626C054D581A9B70	C:/My%20Web%20Sites/jarvee/jarvee.com/indexeff8.html	(from https://jarvee.com/)
11:14:56	199444/199444	---MC-	200	added ('OK')	application/json	date:Fri,%2024%20Dec%202021%2004:14:53%20GMT	https://jarvee.com/wp-json/	C:/My%20Web%20Sites/jarvee/jarvee.com/wp-json/index.html	(from https://jarvee.com/)
11:14:56	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2024%20Dec%202021%2004:14:55%20GMT	https://jarvee.com/wp-content/plugins/wp-video-lightbox	C:/My%20Web%20Sites/jarvee/jarvee.com/wp-content/plugins/wp-video-lightbox	(from https://jarvee.com/)
11:14:56	0/0	---M--	200	added ('OK')	text/html	etag:%220-61a9d207-0;;;%22	https://jarvee.com/wp-content/plugins/wp-video-lightbox/	C:/My%20Web%20Sites/jarvee/jarvee.com/wp-content/plugins/wp-video-lightbox/index.html	(from https://jarvee.com/)
11:14:57	92400/92400	---M--	200	added ('OK')	application/x-font-ttf	etag:%22168f0-6091a9b6-0;;;%22	https://jarvee.com/wp-content/plugins/monarch/core/admin/fonts/modules.ttf	C:/My%20Web%20Sites/jarvee/jarvee.com/wp-content/plugins/monarch/core/admin/fonts/modules.ttf	(from https://jarvee.com/)
11:14:57	3119/3119	---M--	200	added ('OK')	image/png	etag:%22c2f-5962d0fc-0;;;%22	https://jarvee.com/wp-content/uploads/2017/07/windows.png	C:/My%20Web%20Sites/jarvee/jarvee.com/wp-content/uploads/2017/07/windows.png	(from https://jarvee.com/)
11:14:57	20894/20894	---M--	200	added ('OK')	image/png	etag:%22519e-5970d9b4-0;;;%22	https://jarvee.com/wp-content/uploads/2017/07/icon.png	C:/My%20Web%20Sites/jarvee/jarvee.com/wp-content/uploads/2017/07/icon.png	(from https://jarvee.com/)
11:14:58	34940/34940	---M-Z	200	added ('OK')	text/html	etag:%222557-61c53407-0;gz%22	https://jarvee.com/jarvee-social-media-scheduler-features/	C:/My%20Web%20Sites/jarvee/jarvee.com/jarvee-social-media-scheduler-features/index.html	(from https://jarvee.com/)
11:14:58	27197/27197	---M--	200	added ('OK')	image/jpeg	etag:%226a3d-5962b0c7-0;;;%22	https://jarvee.com/wp-content/uploads/2017/07/ralph.jpeg	C:/My%20Web%20Sites/jarvee/jarvee.com/wp-content/uploads/2017/07/ralph.jpg	(from https://jarvee.com/)
11:14:58	40154/40154	---M-Z	200	added ('OK')	text/html	etag:%22295b-61c53ae7-0;gz%22	https://jarvee.com/facebook-marketing-features/	C:/My%20Web%20Sites/jarvee/jarvee.com/facebook-marketing-features/index.html	(from https://jarvee.com/)
11:14:58	38367/38367	---M-Z	200	added ('OK')	text/html	etag:%2227f0-61c5443b-0;gz%22	https://jarvee.com/instagram-marketing-automation-features/	C:/My%20Web%20Sites/jarvee/jarvee.com/instagram-marketing-automation-features/index.html	(from https://jarvee.com/)
11:14:59	35776/35776	---M-Z	200	added ('OK')	text/html	etag:%2225e8-61c53490-0;gz%22	https://jarvee.com/twitter-marketing-features/	C:/My%20Web%20Sites/jarvee/jarvee.com/twitter-marketing-features/index.html	(from https://jarvee.com/)
11:14:59	35947/35947	---M-Z	200	added ('OK')	text/html	etag:%2225ef-61c53b99-0;gz%22	https://jarvee.com/pinterest-marketing-automation-features/	C:/My%20Web%20Sites/jarvee/jarvee.com/pinterest-marketing-automation-features/index.html	(from https://jarvee.com/)
11:14:59	34000/34000	---MCZ	200	added ('OK')	text/html	etag:%22df0f5f6b6bd9670df936504643a9c1c4%22	https://jarvee.com/youtube-marketing-features/	C:/My%20Web%20Sites/jarvee/jarvee.com/youtube-marketing-features/index.html	(from https://jarvee.com/)
11:14:59	21637/21637	---M--	200	added ('OK')	image/jpeg	etag:%225485-5962b197-0;;;%22	https://jarvee.com/wp-content/uploads/2017/07/sonia.jpeg	C:/My%20Web%20Sites/jarvee/jarvee.com/wp-content/uploads/2017/07/sonia.jpg	(from https://jarvee.com/)
11:15:00	36769/36769	---M-Z	200	added ('OK')	text/html	etag:%222635-61c5398c-0;gz%22	https://jarvee.com/linkedin-marketing-automation-features/	C:/My%20Web%20Sites/jarvee/jarvee.com/linkedin-marketing-automation-features/index.html	(from https://jarvee.com/)
11:15:00	32197/32197	---M-Z	200	added ('OK')	text/html	etag:%222319-61c5348d-0;gz%22	https://jarvee.com/tumblr-marketing-automation-features/	C:/My%20Web%20Sites/jarvee/jarvee.com/tumblr-marketing-automation-features/index.html	(from https://jarvee.com/)
11:15:00	27000/27000	---M--	200	added ('OK')	image/jpeg	etag:%226978-5962b184-0;;;%22	https://jarvee.com/wp-content/uploads/2017/07/eva.jpeg	C:/My%20Web%20Sites/jarvee/jarvee.com/wp-content/uploads/2017/07/eva.jpg	(from https://jarvee.com/)
